x0000,y0000,y_tun
0.00000058,4.24E-08,0.0424
0.000000581,4.21E-08,0.0421
0.000000582,4.19E-08,0.0419
0.000000583,4.16E-08,0.0416
0.000000584,4.14E-08,0.0414
0.000000585,4.11E-08,0.0411
0.000000586,4.09E-08,0.0409
0.000000587,4.06E-08,0.0406
0.000000588,4.04E-08,0.0404
0.000000589,4.02E-08,0.0402
0.00000059,3.99E-08,0.0399
0.000000591,3.97E-08,0.0397
0.000000592,3.95E-08,0.0395
0.000000593,3.92E-08,0.0392
0.000000594,0.000000039,0.039
0.000000595,3.88E-08,0.0388
0.000000596,3.85E-08,0.0385
0.000000597,3.83E-08,0.0383
0.000000598,3.81E-08,0.0381
0.000000599,3.79E-08,0.0379
0.0000006,3.76E-08,0.0376
0.000000601,3.74E-08,0.0374
0.000000602,3.72E-08,0.0372
0.000000603,0.000000037,0.037
0.000000604,3.68E-08,0.0368
0.000000605,3.65E-08,0.0365
0.000000606,3.63E-08,0.0363
0.000000607,3.61E-08,0.0361
0.000000608,3.59E-08,0.0359
0.000000609,3.57E-08,0.0357
0.00000061,3.55E-08,0.0355
0.000000611,3.53E-08,0.0353
0.000000612,3.51E-08,0.0351
0.000000613,3.49E-08,0.0349
0.000000614,3.46E-08,0.0346
0.000000615,3.44E-08,0.0344
0.000000616,3.42E-08,0.0342
0.000000617,0.000000034,0.034
0.000000618,3.38E-08,0.0338
0.000000619,3.36E-08,0.0336
0.00000062,3.34E-08,0.0334
0.000000621,3.32E-08,0.0332
0.000000622,0.000000033,0.033
0.000000623,3.29E-08,0.0329
0.000000624,3.27E-08,0.0327
0.000000625,3.25E-08,0.0325
0.000000626,3.23E-08,0.0323
0.000000627,3.21E-08,0.0321
0.000000628,3.19E-08,0.0319
0.000000629,3.17E-08,0.0317
0.00000063,3.15E-08,0.0315
0.000000631,3.13E-08,0.0313
0.000000632,3.12E-08,0.0312
0.000000633,0.000000031,0.031
0.000000634,3.08E-08,0.0308
0.000000635,3.06E-08,0.0306
0.000000636,3.04E-08,0.0304
0.000000637,3.02E-08,0.0302
0.000000638,3.01E-08,0.0301
0.000000639,2.99E-08,0.0299
0.00000064,2.97E-08,0.0297
0.000000641,2.95E-08,0.0295
0.000000642,2.94E-08,0.0294
0.000000643,2.92E-08,0.0292
0.000000644,0.000000029,0.029
0.000000645,2.88E-08,0.0288
0.000000646,2.87E-08,0.0287
0.000000647,2.85E-08,0.0285
0.000000648,2.83E-08,0.0283
0.000000649,2.82E-08,0.0282
0.00000065,0.000000028,0.028
0.000000651,2.78E-08,0.0278
0.000000652,2.77E-08,0.0277
0.000000653,2.75E-08,0.0275
0.000000654,2.74E-08,0.0274
0.000000655,2.72E-08,0.0272
0.000000656,0.000000027,0.027
0.000000657,2.69E-08,0.0269
0.000000658,2.67E-08,0.0267
0.000000659,2.66E-08,0.0266
0.00000066,2.64E-08,0.0264
0.000000661,2.62E-08,0.0262
0.000000662,2.61E-08,0.0261
0.000000663,2.59E-08,0.0259
0.000000664,2.58E-08,0.0258
0.000000665,2.56E-08,0.0256
0.000000666,2.55E-08,0.0255
0.000000667,2.53E-08,0.0253
0.000000668,2.52E-08,0.0252
0.000000669,0.000000025,0.025
0.00000067,2.49E-08,0.0249
0.000000671,2.47E-08,0.0247
0.000000672,2.46E-08,0.0246
0.000000673,2.44E-08,0.0244
0.000000674,2.43E-08,0.0243
0.000000675,2.42E-08,0.0242
0.000000676,0.000000024,0.024
0.000000677,2.39E-08,0.0239
0.000000678,2.37E-08,0.0237
0.000000679,2.36E-08,0.0236
0.00000068,2.35E-08,0.0235
0.000000681,2.33E-08,0.0233
0.000000682,2.32E-08,0.0232
0.000000683,0.000000023,0.023
0.000000684,2.29E-08,0.0229
0.000000685,2.28E-08,0.0228
0.000000686,2.26E-08,0.0226
0.000000687,2.25E-08,0.0225
0.000000688,2.24E-08,0.0224
0.000000689,2.22E-08,0.0222
0.00000069,2.21E-08,0.0221
0.000000691,0.000000022,0.022
0.000000692,2.19E-08,0.0219
0.000000693,2.17E-08,0.0217
0.000000694,2.16E-08,0.0216
0.000000695,2.15E-08,0.0215
0.000000696,2.13E-08,0.0213
0.000000697,2.12E-08,0.0212
0.000000698,2.11E-08,0.0211
0.000000699,0.000000021,0.021
0.0000007,2.08E-08,0.0208
0.000000701,2.07E-08,0.0207
0.000000702,2.06E-08,0.0206
0.000000703,2.05E-08,0.0205
0.000000704,2.04E-08,0.0204
0.000000705,2.02E-08,0.0202
0.000000706,2.01E-08,0.0201
0.000000707,0.00000002,0.02
0.000000708,1.99E-08,0.0199
0.000000709,1.98E-08,0.0198
0.00000071,1.96E-08,0.0196
0.000000711,1.95E-08,0.0195
0.000000712,1.94E-08,0.0194
0.000000713,1.93E-08,0.0193
0.000000714,1.92E-08,0.0192
0.000000715,1.91E-08,0.0191
0.000000716,0.000000019,0.019
0.000000717,1.89E-08,0.0189
0.000000718,1.87E-08,0.0187
0.000000719,1.86E-08,0.0186
0.00000072,1.85E-08,0.0185
0.000000721,1.84E-08,0.0184
0.000000722,1.83E-08,0.0183
0.000000723,1.82E-08,0.0182
0.000000724,1.81E-08,0.0181
0.000000725,0.000000018,0.018
0.000000726,1.79E-08,0.0179
0.000000727,1.78E-08,0.0178
0.000000728,1.77E-08,0.0177
0.000000729,1.76E-08,0.0176
0.00000073,1.75E-08,0.0175
0.000000731,1.74E-08,0.0174
0.000000732,1.73E-08,0.0173
0.000000733,1.72E-08,0.0172
0.000000734,1.71E-08,0.0171
0.000000735,0.000000017,0.017
0.000000736,1.69E-08,0.0169
0.000000737,1.68E-08,0.0168
0.000000738,1.67E-08,0.0167
0.000000739,1.66E-08,0.0166
0.00000074,1.65E-08,0.0165
0.000000741,1.64E-08,0.0164
0.000000742,1.63E-08,0.0163
0.000000743,1.62E-08,0.0162
0.000000744,1.61E-08,0.0161
0.000000745,0.000000016,0.016
0.000000746,1.59E-08,0.0159
0.000000747,1.58E-08,0.0158
0.000000748,1.57E-08,0.0157
0.000000749,1.56E-08,0.0156
0.00000075,1.55E-08,0.0155
0.000000751,1.54E-08,0.0154
0.000000752,1.53E-08,0.0153
0.000000753,1.52E-08,0.0152
0.000000754,1.52E-08,0.0152
0.000000755,1.51E-08,0.0151
0.000000756,0.000000015,0.015
0.000000757,1.49E-08,0.0149
